CustomerID,Age,Gender,Tenure,MonthlyCharges,TotalCharges,ContractType,PaymentMethod,NumSupportTickets,NumServicesSubscribed,PreviousComplaints,Churn
CUST100000,49.0,Female,6,69.69,454.16,Month-to-month,Bank transfer,2,6,1,1
CUST100001,40.0,Female,15,61.88,922.31,Two year,Electronic check,3,6,1,0
CUST100002,51.0,Male,14,80.05,987.31,One year,Credit card,3,6,1,0
CUST100003,63.0,Female,39,54.37,1892.95,Two year,Credit card,2,3,0,0
CUST100004,39.0,Male,32,34.26,1202.96,Two year,Electronic check,2,2,2,0
CUST100005,39.0,Male,13,86.29,1156.98,Two year,Electronic check,3,7,0,0
CUST100006,64.0,Male,10,80.26,692.1,Two year,Mailed check,2,6,2,1
CUST100007,53.0,Male,9,74.6,688.82,Month-to-month,Bank transfer,3,7,1,1
CUST100008,35.0,Female,36,69.78,2394.12,Month-to-month,Electronic check,0,4,1,1
CUST100009,50.0,Male,1,49.75,46.11,One year,Bank transfer,2,4,2,0
CUST100010,36.0,Male,0,72.28,72.28,Month-to-month,Electronic check,3,7,3,1
CUST100011,35.0,Female,38,88.93,3582.02,Two year,Electronic check,0,8,0,0
CUST100012,45.0,Male,16,23.17,321.03,Two year,Electronic check,1,1,1,0
CUST100013,18.0,Female,3,66.68,184.53,One year,Electronic check,3,6,0,1
CUST100014,18.0,Male,6,53.28,296.21,Month-to-month,Credit card,1,3,0,0
CUST100015,34.0,Female,65,82.15,,One year,Credit card,2,8,0,1
CUST100016,28.0,Female,47,36.44,1673.37,One year,Mailed check,4,4,3,0
CUST100017,46.0,Male,30,60.94,1559.32,One year,Mailed check,2,5,0,0
CUST100018,29.0,Male,16,28.43,420.87,Two year,Electronic check,2,2,0,0
CUST100019,22.0,Male,18,64.92,1266.03,Two year,Bank transfer,0,5,0,0
CUST100020,63.0,Female,72,79.57,5314.44,Two year,Electronic check,0,7,1,0
CUST100021,39.0,Male,72,93.77,6347.13,Month-to-month,Bank transfer,1,8,0,0
CUST100022,43.0,Male,6,57.26,332.67,Month-to-month,Credit card,0,4,0,1
CUST100023,22.0,Male,40,58.72,2326.31,Two year,Electronic check,3,4,0,0
CUST100024,34.0,Male,5,20.65,108.64,Month-to-month,Bank transfer,3,1,0,0
CUST100025,44.0,Male,6,32.43,174.65,Month-to-month,Electronic check,1,1,0,0
CUST100026,26.0,Female,27,81.75,2357.2,Two year,Mailed check,1,6,0,1
CUST100027,47.0,Male,12,68.49,854.25,Two year,Electronic check,2,7,0,0
CUST100028,34.0,Male,64,48.4,3192.58,One year,Mailed check,3,2,0,0
CUST100029,38.0,Female,2,61.61,107.41,One year,Electronic check,4,6,2,0
CUST100030,34.0,Female,17,75.18,1093.27,Month-to-month,Mailed check,1,8,2,1
CUST100031,68.0,Male,60,28.37,1699.65,Two year,Mailed check,1,1,0,0
CUST100032,42.0,Male,56,47.73,2848.71,Month-to-month,Electronic check,3,3,0,0
CUST100033,27.0,Male,4,41.29,164.52,Month-to-month,Bank transfer,2,2,0,0
CUST100034,54.0,Female,11,34.31,340.92,One year,Credit card,0,3,1,0
CUST100035,25.0,Male,23,85.48,1715.63,Month-to-month,Mailed check,1,8,1,1
CUST100036,45.0,Female,4,60.52,248.11,One year,Electronic check,1,6,4,1
CUST100037,18.0,Female,72,15.0,1112.88,Two year,Electronic check,2,1,1,0
CUST100038,23.0,Female,59,26.57,1400.1,Two year,Credit card,0,2,1,0
CUST100039,45.0,Male,4,75.99,260.51,Two year,Bank transfer,1,8,0,0
CUST100040,52.0,Male,3,70.17,200.42,Month-to-month,Mailed check,0,6,1,0
CUST100041,44.0,Male,2,59.22,117.93,One year,Electronic check,2,4,0,1
CUST100042,40.0,Male,58,54.21,3227.5,Month-to-month,Mailed check,1,6,0,1
CUST100043,38.0,Female,5,76.82,404.26,Month-to-month,Electronic check,1,7,1,1
CUST100044,21.0,Female,13,48.59,633.33,Two year,Credit card,1,5,2,0
CUST100045,32.0,Female,14,55.03,676.21,One year,Credit card,1,4,0,0
CUST100046,36.0,Female,22,37.02,831.25,One year,Electronic check,2,3,1,0
CUST100047,57.0,Male,2,41.59,91.17,Month-to-month,Mailed check,2,4,0,1
CUST100048,47.0,Male,6,72.4,467.59,Month-to-month,Electronic check,5,6,0,1
CUST100049,18.0,Male,64,77.3,5283.2,Two year,Mailed check,1,8,0,0
CUST100050,47.0,Female,57,47.47,2504.32,Month-to-month,Credit card,0,4,0,0
CUST100051,37.0,Female,36,40.24,1503.25,One year,Mailed check,2,5,0,0
CUST100052,33.0,Female,0,81.57,81.57,One year,Electronic check,2,7,0,0
CUST100053,51.0,Male,10,72.57,739.91,Month-to-month,Electronic check,1,6,0,1
CUST100054,56.0,Male,24,58.04,1271.27,Month-to-month,Credit card,2,5,0,0
CUST100055,55.0,Female,8,37.78,328.98,Month-to-month,Bank transfer,0,4,2,0
CUST100056,30.0,Male,58,67.67,3778.48,One year,Mailed check,2,5,0,0
CUST100057,38.0,Female,24,44.67,946.06,Month-to-month,Electronic check,0,4,1,1
CUST100058,47.0,Female,2,30.37,53.3,One year,Electronic check,3,2,1,0
CUST100059,56.0,Female,58,68.5,4020.2,One year,Credit card,0,4,1,0
CUST100060,35.0,Male,72,20.37,1407.13,Two year,Mailed check,1,1,0,0
CUST100061,39.0,Male,2,63.94,111.72,One year,Mailed check,1,5,2,0
CUST100062,27.0,Male,18,86.5,1611.64,Two year,Mailed check,3,8,1,0
CUST100063,25.0,Male,9,77.12,728.67,Month-to-month,Credit card,1,7,1,1
CUST100064,53.0,Male,12,60.26,745.79,One year,Electronic check,3,5,0,1
CUST100065,61.0,Female,5,45.01,202.67,Month-to-month,Electronic check,3,3,1,0
CUST100066,41.0,Female,21,76.18,1635.69,Two year,Bank transfer,1,7,0,0
